,playerId,marketValueEUR,country,leagueId,leagueName,goals,assists,minutesPlayed,avgRating,xG_nonPenalty,shots,xA,accuratePasses,chancesCreated,dribbles,touches,is_attacker,age,leagueScore,marketValueEUR_log,country_encoded
1,494597,18500000,England,47,8,4,2,2151,6.99,1.94,28,1.97,787,30,7,1353,0,28,93.6,16.733281344102608,38
2,536457,6500000,Belgium,47,8,0,0,92,6.24,0.06,4,0.19,39,1,4,82,0,27,93.6,15.687312888712007,9
3,540963,23000000,Norway,47,8,1,1,2735,6.88,1.86,23,1.42,1175,24,18,1727,0,26,93.6,16.951004817371683,91
4,623716,18000000,Ireland,47,8,1,3,1798,7.15,0.37,12,2.18,1018,23,3,1426,0,28,93.6,16.705882371415992,62
5,655575,3500000,Denmark,47,8,5,0,1060,6.65,3.64,36,1.58,303,20,17,637,0,25,93.6,15.068273812173887,34
6,1113670,20000000,England,47,8,0,0,524,6.14,0.35,6,0.5,116,1,3,249,0,21,93.6,16.811242881518265,38
7,1341387,12000000,France,47,8,3,2,1837,6.86,2.45,42,3.32,352,29,45,790,0,19,93.6,16.300417291085605,42
8,1368318,1100000,USA,47,8,1,1,984,6.53,1.97,23,1.07,187,11,33,471,0,19,93.6,13.910821646859095,119
9,109491,1100000,England,47,8,2,1,798,6.4,2.7,22,0.09,136,4,6,324,1,34,93.6,13.910821646859095,38
10,881500,9000000,South Africa,47,8,5,3,1644,6.69,3.88,30,0.97,258,15,17,658,1,23,93.6,16.012735246411598,108
11,963983,20000000,Belgium,47,8,0,0,405,6.37,0.46,5,0.54,112,7,11,254,1,24,93.6,16.811242881518265,9
12,1067168,20000000,Switzerland,47,8,5,1,1889,6.61,4.54,44,1.23,373,15,29,832,1,23,93.6,16.811242881518265,113
13,1207581,10000000,Ivory Coast,47,8,4,1,871,6.58,4.52,19,0.28,114,7,15,345,1,21,93.6,16.118095750958314,65
14,166422,1600000,England,47,8,1,3,1185,6.59,1.17,19,1.81,275,18,15,620,0,32,93.6,14.285514812209815,38
15,185349,420000,England,47,8,2,1,305,6.46,0.89,6,0.15,58,2,1,143,0,31,93.6,12.948012371209098,38
16,215384,7500000,England,47,8,5,4,2493,7.39,3.98,63,2.59,1124,42,63,1856,0,30,93.6,15.830413711839864,38
17,259301,920000,England,47,8,1,1,1185,6.56,0.87,14,1.12,326,10,11,688,0,30,93.6,13.732130035981154,38
18,498532,1000000,DR Congo,47,8,0,0,1073,6.2,0.64,11,1.36,254,6,9,510,0,30,93.6,13.815511557963774,33
19,541330,5500000,Zimbabwe,47,8,0,0,1134,6.84,0.19,5,0.49,352,7,3,571,0,30,93.6,15.520258832020865,126
20,751066,4000000,Netherlands,47,8,4,0,1719,6.55,2.62,29,1.34,354,9,19,810,0,24,93.6,15.201805169084134,86
21,802245,4500000,Scotland,47,8,2,0,1020,6.49,2.78,26,0.44,129,8,6,470,0,26,93.6,15.319588176962746,102
22,901495,16000000,Belgium,47,8,0,2,1038,7.03,0.39,7,0.67,519,7,11,754,0,24,93.6,16.588099342704055,9
23,282276,1400000,England,47,8,1,1,372,6.36,1.26,13,0.84,86,8,2,207,1,29,93.6,14.151983508870947,38
24,515999,520000,Nigeria,47,8,0,0,264,6.19,0.12,3,0.11,40,1,1,137,1,27,93.6,13.161586013632684,88
25,562725,6300000,England,47,8,10,4,2597,6.75,6.72,65,1.42,435,21,27,1083,1,28,93.6,15.656060350091908,38
26,873237,6500000,England,47,8,9,0,1172,6.63,6.43,28,0.41,131,14,15,454,1,26,93.6,15.687312888712007,38
27,966027,50000000,England,47,8,4,7,2787,7.49,3.08,43,3.22,1566,50,31,2326,0,24,93.6,17.72753358339242,38
28,1089685,20000000,England,47,8,1,1,223,6.5,0.15,3,0.3,115,4,2,175,0,20,93.6,16.811242881518265,38
29,1137668,95000000,Ecuador,47,8,0,1,2538,6.93,0.41,11,1.38,1622,16,19,2218,0,22,93.6,18.36938746009113,36
30,1137705,85000000,Argentina,47,8,3,2,2214,6.99,4.6,47,3.74,1560,32,23,2218,0,23,93.6,18.258161826219297,3
31,1200631,20000000,France,47,8,0,0,271,6.53,0.0,0,0.11,141,1,3,203,0,20,93.6,16.811242881518265,42
32,246575,56000000,England,47,8,6,4,1879,6.92,6.16,47,4.0,488,26,41,1088,1,29,93.6,17.840862266556567,38
33,704523,85000000,France,47,8,2,0,318,6.6,1.75,11,0.25,86,2,1,148,1,26,93.6,18.258161826219297,42
35,1084981,35000000,England,47,8,4,1,786,7.04,0.95,23,1.25,305,14,29,560,1,22,93.6,17.370858648025116,38
36,1096353,37000000,England,47,8,20,9,2267,7.71,9.78,93,6.73,955,57,45,1645,1,22,93.6,17.426428497635523,38
37,1197347,30000000,Senegal,47,8,11,4,2445,7.08,15.42,66,2.59,440,32,41,979,1,22,93.6,17.216707972959764,103
38,169200,63000000,Belgium,47,8,4,8,914,7.92,1.74,34,5.28,519,45,8,890,0,32,93.6,17.958645300228824,9
39,239219,40000000,Croatia,47,8,1,0,1285,7.08,1.19,19,1.68,1190,20,19,1456,0,30,93.6,17.50439003707821,28
40,488139,85000000,Portugal,47,8,6,5,2231,7.51,3.45,29,6.48,1401,54,33,2000,0,29,93.6,18.258161826219297,98
